"puzzle_number","hex","start_key","stop_key"
"66","13zb1hQbWVsc2S7ZTZnP2G4undNNpdh5so","20000000000000000","3ffffffffffffffff"
"67","1BY8GQbnueYofwSuFAT3USAhGjPrkxDdW9","40000000000000000","7ffffffffffffffff"
"68","1MVDYgVaSN6iKKEsbzRUAYFrYJadLYZvvZ","80000000000000000","fffffffffffffffff"
"69","19vkiEajfhuZ8bs8Zu2jgmC6oqZbWqhxhG","100000000000000000","1fffffffffffffffff"
"71","1PWo3JeB9jrGwfHDNpdGK54CRas7fsVzXU","400000000000000000","7fffffffffffffffff"
"72","1JTK7s9YVYywfm5XUH7RNhHJH1LshCaRFR","800000000000000000","ffffffffffffffffff"
"20","1HsMJxNiV7TLxmoF6uJNkydxPFDog4NQum","80000","fffff"
